Date,Adani Enterprises,BEL,BHEL,HCL,HUL,ITC,SPYL,Tata Steel,VUSA
2023-05-12,1964.699951,107.300003,80.949997,102.099998,2623.399902,420.450012,411.589996,106.75,70.139999
2023-05-15,1916.050049,107.650002,80.449997,104.449997,2662.25,427.799988,413.01001,107.699997,69.900002
2023-05-16,1889.150024,108.449997,81.599998,104.349998,2675.899902,423.950012,410.25,107.400002,70.050003
2023-05-17,1899.5,108.25,82.25,102.650002,2661.75,427.600006,415.230011,106.0,70.419998
2023-05-18,1890.0,107.800003,81.650002,101.900002,2627.550049,419.700012,419.230011,105.199997,
2023-05-19,1956.050049,107.0,80.050003,101.599998,2641.449951,419.850006,418.619995,104.650002,71.309998
2023-05-22,2326.100098,110.449997,79.300003,103.699997,2638.100098,424.75,418.790009,105.0,71.68
2023-05-23,2633.699951,107.900002,80.449997,102.900002,2628.300049,429.149994,414.089996,105.599998,71.510002
2023-05-24,2475.600098,108.800003,80.0,102.199997,2614.949951,433.5,411.089996,105.199997,70.779999
2023-05-25,2537.449951,109.599998,81.900002,102.849998,2597.25,441.149994,414.649994,104.849998,71.199997
2023-05-26,2544.350098,110.699997,78.949997,106.900002,2652.350098,443.600006,420.019989,106.400002,72.18
2023-05-29,2534.050049,111.449997,83.0,108.900002,2650.300049,449.100006,,108.449997,
2023-05-30,2496.449951,111.25,82.050003,111.099998,2656.550049,449.899994,420.179993,107.050003,72.349998
2023-05-31,2493.350098,112.150002,81.900002,113.25,2667.550049,445.5,417.850006,105.800003,72.339996
2023-06-01,2492.149902,112.900002,82.0,111.599998,2697.899902,439.700012,421.820007,105.949997,72.389999
2023-06-02,2445.050049,113.300003,83.199997,113.800003,2716.699951,443.399994,427.920013,108.0,73.650002
2023-06-05,2433.949951,115.650002,85.599998,114.349998,2695.800049,440.649994,427.100006,109.400002,73.809998
2023-06-06,2433.649902,118.050003,83.849998,113.650002,2691.149902,442.799988,428.029999,109.0,73.910004
2023-06-07,2439.550049,118.050003,84.199997,115.150002,2716.199951,443.950012,426.549988,111.5,73.830002
2023-06-08,2429.149902,117.550003,84.300003,113.449997,2679.899902,442.899994,429.130005,111.150002,73.169998
2023-06-09,2451.149902,120.349998,85.800003,112.75,2636.199951,438.450012,429.899994,108.900002,73.900002
2023-06-12,2484.800049,119.099998,85.800003,113.400002,2643.449951,436.950012,433.799988,109.5,74.410004
2023-06-13,2462.550049,122.099998,85.099998,113.349998,2675.899902,445.399994,436.660004,111.150002,75.209999
2023-06-14,2457.149902,121.400002,83.849998,115.400002,2698.75,444.5,437.179993,113.800003,74.739998
2023-06-15,2485.649902,121.949997,84.550003,114.25,2689.699951,448.100006,442.600006,113.75,74.599998
2023-06-16,2509.600098,125.199997,86.75,115.199997,2715.649902,453.100006,439.459991,114.25,75.209999
2023-06-19,2401.399902,124.849998,87.349998,114.5,2683.25,453.600006,,114.099998,74.739998
